1;1;1;100;5;1;1
2;1;2;100;5;1;1
3;1;3;100;5;2;1
4;1;4;100;5;2;1
5;1;5;100;5;3;1
6;1;6;100;5;3;1
7;1;7;100;5;4;1
8;1;8;100;5;4;1
9;2;9;150;7;1;1
10;2;10;150;7;1;1
11;2;11;150;7;2;1
12;2;12;150;7;2;1
13;2;13;150;7;3;1
14;2;14;150;7;3;1
15;3;0;120;4;1;1
16;3;0;120;4;1;1
17;3;0;80;3;1;1
18;3;0;80;3;2;1
19;3;0;50;2;2;1
20;4;0;110;5;1;2
21;4;0;110;5;1;2
22;4;0;110;5;1;2
23;4;0;50;4;1;2
24;4;0;50;4;1;2
25;5;0;30;1;1;2
26;5;0;30;1;2;2
27;5;0;30;1;3;2
28;5;0;30;1;4;2
29;7;0;73;4;1;2
30;7;0;73;4;1;2
31;7;0;73;4;1;2
32;7;0;55;3;1;2
33;7;0;55;3;2;2
34;7;0;55;3;3;2
35;8;0;120;6;1;3
36;8;0;100;5;2;3
37;8;0;67;4;3;3
38;8;0;100;5;4;3
39;8;0;67;3;5;3
40;10;0;100;4;1;4
41;10;0;100;4;1;4
42;10;0;100;4;2;4
43;10;0;76;4;2;4
44;12;0;250;9;1;4
45;12;0;100;5;1;4
46;12;0;250;9;2;4
47;12;0;87;4;2;4
48;12;0;250;9;3;4
49;13;0;67;3;3;5
50;13;0;250;9;4;5
51;13;0;34;2;4;5
52;13;0;250;9;5;5
53;14;0;54;3;1;5
54;14;0;52;3;1;5
55;14;0;57;3;1;5
56;15;0;89;4;1;5
57;15;0;76;4;1;5
58;15;0;65;3;2;5
59;15;0;99;5;2;5
60;15;0;154;8;3;5
61;15;0;300;10;4;5
